 Mortalidade - Brasil
Óbitos p/Residênc por Município e Faixa Etária
Categoria CID-10: V01   Pedestre traum colis veic a pedal, V02   Pedestre traum colis veic motor 2 3 rodas, V03   Pedestre traum colis automov pickup caminhon, V04   Pedestre traum colis veic transp pesado onib, V05   Pedestre traum colis trem veic ferroviario, V06   Pedestre traum colis outr veic nao-motoriz, V09   Pedestre traum outr acid transp e NE, V10   Ciclista traum colis pedestre animal, V11   Ciclista traum colis outr veic a pedal, V12   Ciclista traum colis veic motor 2 3 rodas, V13   Ciclista traum colis automov pickup caminhon, V14   Ciclis traum colis veic transp pesado onibus, V15   Ciclista traum colis trem veic ferroviario, V16   Ciclista traum colis outr veic nao-motoriz, V17   Ciclista traum colis objeto fixo ou parado, V18   Ciclista traum acid transp s/colis, V19   Ciclista traum acid transp e NE, V20   Motociclista traum colis pedestre animal, V21   Motociclista traum colis veic pedal, V22   Motocicl traum colis veic motor 2 3 rodas, V23   Motocicl traum colis automov pickup caminhon, V24   Motocicl traum colis veic transp pesado onib, V25   Motociclista traum colis trem veic ferrov, V26   Motocicl traum colis outr veic nao-motoriz, V27   Motocicl traum colis objeto fixo parado, V28   Motociclista traum acid transp s/colis, V29   Motociclista traum outr acid transp e NE, V30   Ocup tricicl mot traum colis pedestre animal, V31   Ocup tricicl motoriz traum colis veic pedal, V32   Ocup tric mot traum col out veic mot 2 3 rod, V33   Ocup tric mot traum col auto pickup caminhon, V34   Ocup tric mot traum col veic transp pes onib, V35   Ocup tricic mot traum colis trem veic ferrov, V36   Ocup tric mot traum colis outr veic n-motor, V37   Ocup tricic mot traum colis obj fixo parado, V38   Ocup tricic motor traum acid transp s/colis, V39   Ocup tricicl mot traum outr acid transp e NE, V40   Ocup automovel traum colis pedestre animal, V41   Ocup automovel traum colis veic a pedal, V42   Ocup autotraum colis outr veic mot 2 3 rodas, V43   Ocup automov traum col auto pickup caminhon, V44   Ocup autom traum colis veic trans pesad onib, V45   Ocup automovel traum colis trem veic ferrov, V46   Ocup automov traum colis outr veic n-motor, V47   Ocup automovel traum colis obj fixo parado, V48   Ocup automovel traum acid transp s/colis, V49   Ocup automovel traum outr acid transp e NE, V50   Ocup caminhonete traum colis pedestre animal, V51   Ocup caminhonete traum colis veic pedal, V52   Ocup caminhon traum colis veic mot 2 3 rodas, V53   Ocup caminhon traum colis automov caminhon, V54   Ocup caminhon traum col veic transp pes onib, V55   Ocup caminhon traum colis trem veic ferrov, V56   Ocup caminhonete traum colis outr veic n-mot, V57   Ocup caminhonete traum colis obj fixo parado, V58   Ocup caminhonete traum acid transp s/colis, V59   Ocup caminhonete traum outr acid transp NE, V60   Ocup veic transp pesado traum colis ped anim, V61   Ocup veic transp pesado traum col veic pedal, V62   Ocup v transp pes traum col veic mot 2 3 rod, V63   Ocup veic tr pesado traum col auto caminhon, V64   Ocup v tr pes tr col outr veic tr pes onib, V65   Ocup veic tr pes traum col trem veic ferrov, V66   Ocup veic tr pesado traum col out veic n-mot, V67   Ocup veic tr pesado traum col obj fixo parad, V68   Ocup veic tr pesado traum ac transp s/colis, V69   Ocup veic tr pesado traum outr ac transp NE, V70   Ocup onibus traum colis pedestre animal, V71   Ocup onibus traum colis veic a pedal, V72   Ocup onibus traum col out veic mot 2 3 rodas, V73   Ocup onibus traum colis automovel caminhonet, V74   Ocup onibus traum colis veic transp pes onib, V75   Ocup onibus traum colis trem veic ferrov, V76   Ocup onibus traum colis outr veic n-motor, V77   Ocup onibus traum colis objeto fixo parado, V78   Ocup onibus traum acid transp s/colis, V79   Ocup onibus traum outr acid transp e NE, V80   Pess mont anim oc veic anim traum ac transp, V81   Ocup trem veic ferroviario traum acid transp, V82   Ocup de um bonde traum acid transp, V83   Ocup veic esp mot area ind traum ac transp, V84   Ocup veic esp mot uso agric traum acid trans, V85   Ocup veic mot esp constr traum acid transp, V86   Ocup veic outr uso n-via pub traum ac transp, V87   Acid trans tipo espec desconh mod transp vit, V88   Ac n-trans tipo espec desconh mod transp vit, V89   Acid veic mot n-mot tipos de veic NE, V90   Acid embarcacao caus afogamento submersao, V91   Acid embarcacao causando outr tipo de traum, V92   Afog submers rel transp agua s/acid embarc, V93   Acid bord emb s/ac bem n caus afog submers, V94   Outr acid transp p/agua e os NE, V95   Acid de aeronave mot causando traum ao ocup, V96   Acid aeronave s/motor causando traum a ocup, V97   Outr acid espec de transporte aereo, V98   Outr acid transp espec, V99   Acid transp NE
Período:2019
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"140023 Caroebe";1;-;-;-;-;1;1;-;-;-;-;-;-;3
"140028 Iracema";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"140030 Mucajaí";-;-;-;-;-;1;2;-;1;1;-;-;-;5
"140040 Normandia";-;-;-;-;-;1;-;2;-;-;1;-;-;4
"140045 Pacaraima";-;-;-;-;1;1;2;-;-;-;-;-;-;4
"140047 Rorainópolis";-;-;-;-;-;1;1;1;2;-;-;-;-;5
"140050 São João da Baliza";-;1;-;-;-;-;1;-;-;1;-;-;-;3
"140060 São Luiz";-;-;-;-;1;-;1;-;-;1;-;-;-;3
"140070 Uiramutã";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";-;-;-;-;-;2;5;5;-;1;1;-;-;14
"150013 Abel Figueiredo";-;-;-;-;-;-;2;2;-;-;-;-;-;4
"150020 Acará";-;-;-;-;1;1;3;-;4;1;1;-;-;11
"150030 Afuá";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150034 Água Azul do Norte";-;-;-;-;1;3;-;1;-;-;-;-;-;5
"150040 Alenquer";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"150050 Almeirim";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150060 Altamira";-;-;1;1;1;6;11;6;4;-;1;1;-;32
"150070 Anajás";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150080 Ananindeua";-;-;-;-;3;12;19;9;11;5;3;1;4;67
"150085 Anapu";-;-;-;-;1;6;3;1;2;2;-;-;-;15
"150090 Augusto Corrêa";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"150095 Aurora do Pará";-;-;-;1;2;2;1;1;1;-;-;-;-;8
"150100 Aveiro";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150110 Bagre";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150125 Bannach";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150130 Barcarena";-;-;1;-;4;5;3;3;4;3;1;-;-;24
"150140 Belém";-;1;-;1;7;34;33;26;21;14;12;3;-;152
"150145 Belterra";-;-;-;-;-;3;-;1;-;-;-;-;-;4
"150150 Benevides";-;-;-;-;-;5;4;3;1;-;1;-;-;14
"150157 Bom Jesus do Tocantins";-;-;-;-;-;-;-;1;1;-;1;-;-;3
"150170 Bragança";-;-;-;1;-;2;1;5;2;1;-;-;-;12
"150172 Brasil Novo";-;-;-;-;3;3;-;1;-;-;-;-;-;7
"150175 Brejo Grande do Araguaia";-;-;-;-;-;1;1;-;1;-;-;-;-;3
"150178 Breu Branco";1;-;-;-;-;2;3;1;-;1;1;-;1;10
"150180 Breves";-;-;-;-;1;-;1;1;-;-;-;-;-;3
"150190 Bujaru";-;-;-;-;1;1;2;-;-;-;1;-;-;5
"150200 Cachoeira do Arari";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"150195 Cachoeira do Piriá";-;-;-;-;2;-;-;-;1;-;-;-;-;3
"150210 Cametá";-;-;-;-;1;5;2;2;2;1;-;-;-;13
"150215 Canaã dos Carajás";-;-;-;2;2;5;1;2;-;3;1;-;-;16
"150220 Capanema";-;-;-;-;-;4;3;5;-;1;-;-;-;13
"150230 Capitão Poço";-;-;1;-;-;3;1;2;-;-;2;-;-;9
"150240 Castanhal";-;-;-;-;1;13;9;4;4;4;4;-;-;39
"150260 Colares";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"150270 Conceição do Araguaia";-;-;-;-;1;1;1;3;2;-;1;-;-;9
"150275 Concórdia do Pará";-;-;-;1;1;3;2;-;-;-;-;-;-;7
"150276 Cumaru do Norte";-;-;-;-;1;2;-;-;-;-;-;1;-;4
"150277 Curionópolis";-;-;-;-;-;1;-;2;2;-;1;-;-;6
"150280 Curralinho";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"150285 Curuá";-;-;1;-;-;-;1;1;1;-;-;-;-;4
"150290 Curuçá";-;-;-;-;2;-;1;1;1;1;-;-;-;6
"150293 Dom Eliseu";-;-;-;-;2;-;1;1;2;3;-;-;-;9
"150295 Eldorado do Carajás";1;-;-;1;2;-;3;3;1;-;-;-;-;11
"150304 Floresta do Araguaia";-;-;-;-;3;-;2;-;-;-;1;-;-;6
"150307 Garrafão do Norte";-;-;-;-;-;1;4;-;-;-;-;-;-;5
"150309 Goianésia do Pará";-;-;-;-;3;3;-;2;1;1;-;-;-;10
"150320 Igarapé-Açu";-;-;1;-;-;3;5;1;-;-;-;-;-;10
"150330 Igarapé-Miri";-;-;-;-;-;4;2;-;-;-;1;-;-;7
"150340 Inhangapi";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"150345 Ipixuna do Pará";-;-;-;-;-;3;3;1;-;-;-;1;-;8
"150350 Irituia";-;1;-;-;-;4;-;-;-;1;-;-;-;6
"150360 Itaituba";-;-;1;-;2;7;9;5;3;5;1;-;-;33
"150370 Itupiranga";-;-;-;-;-;3;-;1;3;1;-;-;-;8
"150375 Jacareacanga";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"150380 Jacundá";-;-;-;1;-;2;2;4;4;1;1;1;-;16
"150390 Juruti";-;-;-;-;-;3;-;-;-;1;-;-;-;4
"150405 Mãe do Rio";-;1;-;-;-;1;1;3;3;-;-;-;-;9
"150410 Magalhães Barata";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150420 Marabá";1;1;-;1;5;23;22;9;5;9;3;4;2;85
"150440 Marapanim";-;-;-;-;-;-;3;1;-;-;-;-;-;4
"150442 Marituba";-;-;-;-;2;5;-;2;3;2;1;-;-;15
"150445 Medicilândia";1;-;-;-;1;2;-;1;-;-;-;-;-;5
"150450 Melgaço";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150460 Mocajuba";-;-;-;-;-;1;1;-;-;1;-;1;-;4
"150470 Moju";-;-;-;-;2;3;2;1;-;-;-;1;-;9
"150475 Mojuí dos Campos";-;-;-;-;1;1;2;-;-;-;1;-;-;5
"150480 Monte Alegre";-;-;-;-;1;5;4;1;-;1;-;1;-;13
"150490 Muaná";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"150495 Nova Esperança do Piriá";-;1;-;-;-;-;1;1;-;2;-;-;-;5
"150497 Nova Ipixuna";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"150500 Nova Timboteua";-;-;1;-;-;2;1;1;-;-;-;-;-;5
"150503 Novo Progresso";-;-;-;-;-;4;2;1;4;-;1;-;-;12
"150506 Novo Repartimento";-;-;1;-;1;2;5;4;-;-;1;-;-;14
"150510 Óbidos";-;-;-;-;-;-;1;1;2;1;-;-;-;5
"150520 Oeiras do Pará";-;-;-;-;2;-;-;-;-;1;-;-;-;3
"150530 Oriximiná";-;1;-;-;-;-;-;1;2;-;-;1;-;5
"150540 Ourém";-;-;-;-;1;-;-;3;-;-;-;-;-;4
"150543 Ourilândia do Norte";-;-;-;-;1;-;3;-;2;1;1;-;-;8
"150548 Pacajá";-;-;-;-;2;4;3;2;-;2;-;-;-;13
"150549 Palestina do Pará";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150550 Paragominas";-;1;1;-;-;6;3;6;3;-;1;-;-;21
"150553 Parauapebas";-;2;1;1;2;14;10;5;4;5;1;-;-;45
"150555 Pau D'Arco";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150560 Peixe-Boi";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150563 Piçarra";-;-;-;-;-;1;3;1;-;-;-;-;-;5
"150565 Placas";-;-;-;-;1;-;1;1;2;1;-;-;-;6
"150570 Ponta de Pedras";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150580 Portel";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150590 Porto de Moz";-;-;-;-;1;2;1;-;-;-;-;-;-;4
"150600 Prainha";-;-;-;1;2;2;-;-;1;-;-;-;-;6
"150610 Primavera";-;-;-;-;-;1;4;1;-;1;-;-;-;7
"150611 Quatipuru";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"150613 Redenção";-;-;-;1;3;5;3;5;7;3;-;-;-;27
"150616 Rio Maria";-;-;-;-;-;2;2;-;-;2;-;-;-;6
"150618 Rondon do Pará";-;-;-;-;1;3;1;2;1;-;-;-;-;8
"150619 Rurópolis";-;-;-;1;1;4;1;-;-;-;-;-;-;7
"150620 Salinópolis";-;-;-;-;1;1;1;3;-;-;-;-;-;6
"150630 Salvaterra";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"150635 Santa Bárbara do Pará";-;-;-;-;-;3;-;2;-;-;-;-;-;5
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150650 Santa Izabel do Pará";-;-;-;-;1;2;6;2;1;1;1;-;-;14
"150655 Santa Luzia do Pará";-;-;-;-;1;3;1;-;-;-;-;-;-;5
"150658 Santa Maria das Barreiras";-;-;-;-;-;-;1;1;-;1;-;-;-;3
"150660 Santa Maria do Pará";-;-;-;-;-;3;-;1;-;1;-;-;-;5
"150670 Santana do Araguaia";-;-;-;-;-;4;9;2;3;-;1;-;-;19
"150680 Santarém";-;1;-;1;3;20;17;9;10;5;5;1;-;72
"150690 Santarém Novo";-;-;-;-;-;1;1;-;1;1;-;-;-;4
"150700 Santo Antônio do Tauá";-;-;-;-;-;-;2;-;1;1;-;1;-;5
"150710 São Caetano de Odivelas";-;-;-;-;-;1;3;2;1;1;-;-;-;8
"150715 São Domingos do Araguaia";-;-;-;-;1;3;-;2;-;2;2;-;-;10
"150720 São Domingos do Capim";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"150730 São Félix do Xingu";-;1;-;1;5;7;5;3;1;1;-;-;1;25
"150740 São Francisco do Pará";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150745 São Geraldo do Araguaia";-;-;-;1;1;6;3;2;2;-;-;-;-;15
"150747 São João de Pirabas";-;-;-;-;-;-;2;-;1;-;-;-;-;3
"150750 São João do Araguaia";-;-;-;-;1;4;1;-;-;-;-;-;-;6
"150760 São Miguel do Guamá";-;-;1;-;1;2;4;2;1;1;-;1;-;13
"150775 Sapucaia";-;-;-;-;-;1;2;-;-;-;1;-;-;4
"150780 Senador José Porfírio";-;-;-;-;-;-;2;-;-;1;-;-;-;3
"150790 Soure";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"150795 Tailândia";-;-;-;1;1;3;1;5;2;3;-;-;-;16
"150796 Terra Alta";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150797 Terra Santa";-;-;-;-;1;2;-;1;-;-;-;-;-;4
"150800 Tomé-Açu";-;-;-;-;2;4;4;-;-;1;-;-;-;11
"150803 Tracuateua";-;-;-;-;1;-;1;-;1;1;-;-;-;4
"150805 Trairão";-;-;-;-;1;4;4;2;-;-;-;-;-;11
"150808 Tucumã";-;-;-;-;2;5;4;3;-;-;-;-;-;14
"150810 Tucuruí";-;-;-;-;1;7;1;-;1;-;1;-;-;11
"150812 Ulianópolis";-;-;-;2;1;3;1;2;1;-;-;-;-;10
"150815 Uruará";-;-;-;-;1;5;3;2;3;-;-;-;-;14
"150820 Vigia";-;-;-;-;-;1;1;-;-;2;-;-;-;4
"150830 Viseu";-;-;-;-;1;-;-;1;-;-;1;-;-;3
"150835 Vitória do Xingu";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"150840 Xinguara";-;1;-;-;1;4;3;2;2;-;2;-;-;15
"150000 Município ignorado - PA";-;-;-;-;-;-;-;-;-;-;-;-;8;8
"160020 Calçoene";-;-;-;-;1;1;-;1;-;-;-;-;-;3
"160021 Cutias";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"160023 Ferreira Gomes";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"160027 Laranjal do Jari";-;-;-;-;1;-;2;2;-;-;-;-;-;5
"160030 Macapá";-;1;1;-;6;11;10;5;9;4;2;3;-;52
"160050 Oiapoque";-;-;-;-;1;-;3;-;2;-;-;-;-;6
"160053 Porto Grande";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"160055 Pracuúba";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"160060 Santana";-;-;-;-;1;3;3;4;1;1;-;-;-;13
"160070 Tartarugalzinho";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"170030 Aguiarnópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"170035 Aliança do Tocantins";-;-;-;-;-;3;1;1;-;2;-;-;-;7
"170070 Alvorada";-;-;-;-;1;1;1;1;-;2;-;-;-;6
"170130 Aragominas";-;-;-;-;-;-;-;2;1;-;-;-;-;3
"170190 Araguacema";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"170200 Araguaçu";-;-;-;-;-;-;1;2;1;-;-;-;-;4
"170210 Araguaína";1;-;-;-;5;13;13;8;9;5;2;-;-;56
"170215 Araguanã";-;-;-;-;-;2;1;-;-;-;-;-;-;3
"170220 Araguatins";-;-;-;-;-;-;1;2;-;-;-;-;-;3
"170230 Arapoema";-;-;-;-;-;-;2;-;1;-;-;-;-;3
"170240 Arraias";-;-;-;2;-;-;-;-;-;1;-;-;-;3
"170255 Augustinópolis";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"170290 Axixá do Tocantins";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"170300 Babaçulândia";-;-;-;-;1;-;-;-;2;-;-;-;-;3
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"170307 Barra do Ouro";-;-;-;-;-;2;-;-;1;-;-;-;-;3
"170320 Bernardo Sayão";-;-;-;-;-;1;-;-;2;-;-;-;-;3
"170360 Brasilândia do Tocantins";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"170380 Buriti do Tocantins";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"170384 Campos Lindos";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"170386 Cariri do Tocantins";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"170389 Carrasco Bonito";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"170390 Caseara";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"170410 Centenário";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"170510 Chapada da Natividade";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"170550 Colinas do Tocantins";-;-;-;2;1;4;4;5;3;-;1;1;-;21
"171670 Colméia";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"170555 Combinado";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"170560 Conceição do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"170600 Couto Magalhães";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"170610 Cristalândia";-;-;-;-;1;-;-;-;1;-;1;-;-;3
"170650 Darcinópolis";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"170700 Dianópolis";-;-;-;-;-;2;1;-;-;1;1;-;-;5
"170710 Divinópolis do Tocantins";-;-;-;-;1;-;-;4;-;-;-;-;-;5
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"170730 Dueré";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"170740 Esperantina";-;-;-;-;-;1;-;2;-;1;-;-;-;4
"170755 Fátima";-;-;-;-;-;-;-;1;2;-;-;1;-;4
"170765 Figueirópolis";-;-;-;-;-;-;1;-;1;-;-;1;-;3
"170770 Filadélfia";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"170820 Formoso do Araguaia";-;-;-;-;-;3;3;1;-;-;-;-;-;7
"170900 Goiatins";-;-;-;-;-;1;-;1;-;-;-;1;-;3
"170930 Guaraí";-;-;-;-;3;1;1;1;1;2;-;-;-;9
"170950 Gurupi";-;-;-;-;1;4;1;4;7;2;4;-;-;23
"170980 Ipueiras";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"171050 Itacajá";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"171070 Itaguatins";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"171090 Itapiratins";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"171150 Jaú do Tocantins";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"171190 Lagoa da Confusão";-;-;-;-;-;1;-;1;-;1;-;1;-;4
"171200 Lajeado";-;-;-;-;-;-;1;-;1;-;1;-;-;3
"171215 Lavandeira";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"171240 Lizarda";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"171250 Marianópolis do Tocantins";-;-;-;-;-;1;-;1;-;1;1;-;-;4
"171270 Mateiros";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"171320 Miracema do Tocantins";-;-;-;-;-;2;-;2;-;2;-;-;-;6
"171330 Miranorte";-;-;-;-;1;3;1;1;-;1;-;-;-;7
"171360 Monte do Carmo";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"171370 Monte Santo do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"171395 Muricilândia";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"171420 Natividade";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"171430 Nazaré";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"171488 Nova Olinda";-;-;-;-;3;1;2;1;-;-;1;-;-;8
"171500 Nova Rosalândia";-;-;-;-;1;1;-;1;2;-;1;-;-;6
"171510 Novo Acordo";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"171515 Novo Alegre";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"171525 Novo Jardim";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"172100 Palmas";-;-;-;1;6;14;20;15;7;6;7;-;-;76
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"171575 Palmeirópolis";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"171610 Paraíso do Tocantins";-;-;-;1;-;4;3;2;4;2;-;-;-;16
"171620 Paranã";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"171650 Pedro Afonso";-;-;-;-;1;-;-;-;2;-;-;-;-;3
"171660 Peixe";-;-;-;-;-;1;-;-;1;2;-;-;-;4
"171665 Pequizeiro";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"171750 Pium";-;-;-;-;-;2;1;-;-;-;-;-;-;3
"171790 Ponte Alta do Tocantins";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"171820 Porto Nacional";1;-;-;-;1;3;6;2;3;1;-;1;-;18
"171830 Praia Norte";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"171855 Riachinho";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"171875 Rio Sono";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"171880 Sampaio";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"171884 Sandolândia";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"171889 Santa Rita do Tocantins";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"171890 Santa Rosa do Tocantins";-;-;-;-;-;-;-;1;2;1;-;-;-;4
"171900 Santa Tereza do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"172000 Santa Terezinha do Tocantins";-;-;-;-;-;1;1;-;-;-;-;1;-;3
"172010 São Bento do Tocantins";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"172020 São Miguel do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"172030 São Sebastião do Tocantins";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"172049 São Valério";-;-;-;-;1;1;-;-;1;-;1;-;-;4
"172080 Sítio Novo do Tocantins";-;-;-;-;-;-;-;-;2;-;-;-;-;2
"172085 Sucupira";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"172090 Taguatinga";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"172097 Talismã";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"172110 Tocantínia";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"172120 Tocantinópolis";-;-;-;-;-;2;2;1;4;2;-;-;-;11
"172208 Wanderlândia";-;1;-;-;-;1;-;-;1;1;-;-;-;4
"172210 Xambioá";-;-;-;-;-;1;-;1;1;2;-;-;-;5
"170000 Município ignorado - TO";-;-;-;-;-;-;1;-;-;-;-;-;6;7
"210005 Açailândia";-;-;-;-;1;4;7;8;2;4;-;-;-;26
"210015 Água Doce do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"210020 Alcântara";-;-;-;-;-;2;1;-;-;-;-;-;-;3
"210030 Aldeias Altas";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"210040 Altamira do Maranhão";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"210043 Alto Alegre do Maranhão";-;-;-;-;1;2;2;-;1;1;1;-;-;8
"210047 Alto Alegre do Pindaré";-;-;-;-;-;3;-;-;-;-;-;1;-;4
"210050 Alto Parnaíba";-;-;-;-;1;1;-;1;-;-;-;-;-;3
"210055 Amapá do Maranhão";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"210060 Amarante do Maranhão";-;-;-;-;1;1;5;3;1;1;1;-;-;13
"210070 Anajatuba";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"210080 Anapurus";-;-;-;-;1;-;2;1;1;1;-;1;-;7
"210083 Apicum-Açu";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"210087 Araguanã";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210090 Araioses";-;-;-;-;-;3;-;1;2;2;-;-;-;8
"210095 Arame";-;-;-;-;-;2;3;1;-;-;-;-;-;6
"210100 Arari";-;-;-;-;1;2;1;1;-;-;-;-;-;5
"210110 Axixá";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210120 Bacabal";-;-;-;-;1;1;3;2;-;1;3;1;-;12
"210125 Bacabeira";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"210130 Bacuri";-;-;-;-;1;-;-;1;1;-;-;-;-;3
"210135 Bacurituba";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"210140 Balsas";-;-;-;-;7;11;9;11;3;3;-;1;-;45
"210150 Barão de Grajaú";-;-;-;-;-;3;-;-;-;1;-;-;-;4
"210160 Barra do Corda";-;-;1;-;2;6;7;3;1;-;1;1;-;22
"210170 Barreirinhas";-;-;-;-;1;2;-;1;-;-;-;-;-;4
"210180 Benedito Leite";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"210190 Bequimão";-;-;-;-;-;1;2;1;-;1;-;-;-;5
"210200 Bom Jardim";-;1;-;-;-;3;3;1;-;-;-;-;-;8
"210203 Bom Jesus das Selvas";-;-;-;-;2;1;3;2;1;-;1;-;-;10
"210207 Bom Lugar";-;-;-;-;-;-;3;-;1;-;1;-;-;5
"210210 Brejo";-;-;-;-;-;1;3;1;-;2;-;-;-;7
"210215 Brejo de Areia";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"210220 Buriti";-;-;-;2;-;-;2;-;-;1;-;-;-;5
"210230 Buriti Bravo";-;-;1;-;-;2;3;1;-;3;-;-;-;10
